??_A,,,,
t,x,,x2,v
9.73 ,315.00 ,,28.78 ,10.71694384
9.77 ,318.57 ,,29.14 ,10.05460922
9.80 ,321.92 ,,29.48 ,9.666858256
9.83 ,325.15 ,,29.80 ,9.829603693
9.87 ,328.42 ,,30.13 ,9.051298742
9.90 ,331.44 ,,30.43 ,9.979020473
9.93 ,334.77 ,,30.76 ,8.593310782
9.97 ,337.63 ,,31.05 ,10.07186844
10.00 ,340.99 ,,31.38 ,8.285494421
10.03 ,343.75 ,,31.66 ,8.581905588
10.07 ,346.61 ,,31.95 ,9.257070689
10.10 ,349.70 ,,32.25 ,8.680625219
10.13 ,352.59 ,,32.54 ,7.886855482
10.17 ,355.22 ,,32.81 ,8.832390535
10.20 ,358.17 ,,33.10 ,8.95189553
10.23 ,361.15 ,,33.40 ,7.249987852
10.27 ,363.57 ,,33.64 ,9.033862458
10.30 ,366.58 ,,33.94 ,7.407459321
10.33 ,369.05 ,,34.19 ,9.18195706
10.37 ,372.11 ,,34.50 ,7.09242082
10.40 ,374.48 ,,34.73 ,7.783145648
10.44 ,377.07 ,,34.99 ,8.093680945
10.47 ,379.77 ,,35.26 ,8.27952628
10.50 ,382.53 ,,35.54 ,8.01962764
10.54 ,385.20 ,,35.80 ,7.904314777
10.57 ,387.84 ,,36.07 ,7.7946461
10.60 ,390.44 ,,36.33 ,8.483732864
10.64 ,393.27 ,,36.61 ,8.168921754
10.67 ,395.99 ,,36.88 ,8.087065782
10.70 ,398.69 ,,37.15 ,8.303463633
10.74 ,401.45 ,,37.43 ,7.925294905
10.77 ,404.10 ,,37.69 ,8.250943573
10.80 ,406.85 ,,37.97 ,8.201588544
10.84 ,409.58 ,,38.24 ,7.930021246
10.87 ,412.22 ,,38.51 ,8.414209137
10.90 ,415.03 ,,38.79 ,8.220420478
10.94 ,417.77 ,,39.06 ,8.101745119
10.97 ,420.47 ,,39.33 ,8.263983678
11.00 ,423.23 ,,39.61 ,8.079601508
11.04 ,425.92 ,,39.88 ,8.328524306
11.07 ,428.70 ,,40.15 ,8.397822351
11.10 ,431.50 ,,40.43 ,7.813195719
11.14 ,434.10 ,,40.69 ,8.417634886
11.17 ,436.91 ,,40.97 ,7.977149072
11.20 ,439.57 ,,41.24 ,8.809914004
11.24 ,442.50 ,,41.53 ,8.706461172
11.27 ,445.41 ,,41.82 ,8.669826559
11.30 ,448.30 ,,42.11 ,8.637384072
11.34 ,451.18 ,,42.40 ,9.709506369
11.37 ,454.41 ,,42.73 ,8.631242559
11.40 ,457.29 ,,43.01 ,8.297897728
11.44 ,460.06 ,,43.29 ,9.641856354
11.47 ,463.27 ,,43.61 ,8.336788878
11.50 ,466.05 ,,43.89 ,9.31975122
11.54 ,469.16 ,,44.20 ,9.392726889
11.57 ,472.29 ,,44.51 ,9.501823557
11.60 ,475.46 ,,44.83 ,8.261850721
11.64 ,478.21 ,,45.11 ,8.801628138
11.67 ,481.15 ,,45.40 ,9.707391322
11.70 ,484.38 ,,45.72 ,9.085872
11.74 ,487.41 ,,46.03 ,9.384923643
11.77 ,490.54 ,,46.34 ,9.606372174
11.80 ,493.74 ,,46.66 ,8.874738929
11.84 ,496.70 ,,46.95 ,9.727003071
11.87 ,499.95 ,,47.28 ,9.415525925
11.90 ,503.08 ,,47.59 ,9.072379247
11.94 ,506.11 ,,47.89 ,8.676282421
11.97 ,509.00 ,,48.18 ,9.58201867
12.00 ,512.20 ,,48.50 ,9.940963787
12.04 ,515.51 ,,48.83 ,8.725683065
12.07 ,518.42 ,,49.13 ,8.265550926
12.10 ,521.17 ,,49.40 ,9.138467948
12.14 ,524.22 ,,49.71 ,8.968278298
12.17 ,527.21 ,,50.01 ,8.297715357
12.20 ,529.98 ,,50.28 ,8.930906724
12.24 ,532.96 ,,50.58 ,7.396401598
12.27 ,535.42 ,,50.83 ,8.030559689
12.30 ,538.10 ,,51.09 ,7.977608898
12.34 ,540.76 ,,51.36 ,7.640321608
12.37 ,543.30 ,,51.61 ,6.502503848
12.40 ,545.47 ,,51.83 ,6.264399411
12.44 ,547.56 ,,52.04 ,6.023870164
12.47 ,549.57 ,,52.24 ,6.188309082
12.50 ,551.63 ,,52.45 ,6.042385589
12.54 ,553.65 ,,52.65 ,5.803117639
12.57 ,555.58 ,,52.84 ,5.307244826
12.60 ,557.35 ,,53.02 ,5.445559665
12.64 ,559.17 ,,53.20 ,5.981797425
12.67 ,561.16 ,,53.40 ,5.35351629
12.70 ,562.95 ,,53.58 ,5.291339282
12.74 ,564.71 ,,53.75 ,5.411397865
12.77 ,566.51 ,,53.94 ,6.382722596
12.80 ,568.64 ,,54.15 ,5.917728021
12.84 ,570.61 ,,54.35 ,6.304621147
12.87 ,572.72 ,,54.56 ,6.41804642
12.90 ,574.86 ,,54.77 ,7.616303275
12.94 ,577.40 ,,55.02 ,7.989666661
12.97 ,580.06 ,,55.29 ,7.395911177
13.00 ,582.52 ,,55.54 ,7.962656301
13.04 ,585.18 ,,55.80 ,8.774541299
13.07 ,588.10 ,,56.09 ,8.882864924
13.10 ,591.07 ,,56.39 ,8.214388748
13.14 ,593.80 ,,56.66 ,9.715006798
13.17 ,597.04 ,,56.99 ,9.880010018
13.20 ,600.34 ,,57.32 ,9.369325849
13.24 ,603.46 ,,57.63 ,10.60873298
13.27 ,607.00 ,,57.98 ,10.92498176
13.30 ,610.64 ,,58.35 ,10.19421543
13.34 ,614.04 ,,58.69 ,10.03334534
13.37 ,617.38 ,,59.02 ,10.73159623
13.40 ,620.96 ,,59.38 ,10.96539756
13.44 ,624.62 ,,59.75 ,10.97235555
13.47 ,628.28 ,,60.11 ,10.50649621
13.50 ,631.78 ,,60.46 ,10.60690087
13.54 ,635.31 ,,60.82 ,10.20231389
13.57 ,638.72 ,,61.16 ,10.7925186
13.60 ,642.31 ,,61.52 ,9.855867762
13.64 ,645.60 ,,61.84 ,9.514848664
13.67 ,648.77 ,,62.16 ,10.2993168
13.70 ,652.21 ,,62.50 ,10.42912694
13.74 ,655.68 ,,62.85 ,9.978865703
13.77 ,659.01 ,,63.18 ,10.07376895
